Year,Month,Day,Interbank Overnight
1999,Jan,02,1.50
,,04,0.06
,,05,0.13
,,06,0.13
,,07,1.50
,,08,0.50
,,09,0.13
,,11,0.13
,,12,0.13
,,13,0.13
,,14,0.13
,,15,0.13
,,16,0.13
,,18,0.13
,,20,0.06
,,21,0.03
,,22,0.13
,,23,0.00
,,25,0.13
,,26,0.13
,,27,0.06
,,28,0.13
,,29,0.13
,,30,0.75
,Feb,01,0.06
,,02,0.13
,,03,0.00
,,04,0.00
,,05,1.50
,,06,0.50
,,08,0.13
,,09,0.13
,,10,0.13
,,11,0.06
,,12,0.50
,,13,0.50
,,15,1.00
,,18,2.00
,,19,0.75
,,20,0.50
,,22,0.13
,,23,0.13
,,24,0.06
,,25,0.13
,,26,1.88
,,27,0.13
,Mar,01,0.50
,,02,0.13
,,03,0.13
,,04,0.13
,,05,0.13
,,06,0.13
,,08,0.13
,,09,0.13
,,10,0.13
,,11,0.13
,,12,2.50
,,13,0.25
,,15,0.25
,,16,0.38
,,17,0.13
,,18,1.00
,,19,1.88
,,20,0.13
,,22,1.00
,,23,0.13
,,24,0.13
,,25,0.25
,,26,2.00
,,27,0.25
,,30,0.00
,,31,0.06
,Apr,01,0.25
,,03,0.13
,,05,0.06
,,06,1.25
,,07,0.50
,,08,0.25
,,09,0.25
,,10,0.13
,,12,0.13
,,13,0.25
,,14,0.13
,,15,0.75
,,16,0.75
,,17,0.25
,,19,0.06
,,20,0.06
,,21,0.06
,,22,0.25
,,23,0.50
,,24,0.13
,,26,0.06
,,27,0.06
,,28,0.75
,,29,0.38
,,30,0.25
,May,03,0.13
,,04,1.25
,,05,0.50
,,06,0.25
,,07,1.50
,,08,0.13
,,10,0.75
,,11,0.50
,,12,1.00
,,13,0.13
,,14,1.75
,,15,0.75
,,17,0.13
,,18,0.38
,,19,0.13
,,20,0.13
,,21,0.50
,,22,0.13
,,24,0.25
,,25,0.25
,,26,0.13
,,27,0.13
,,28,0.13
,,31,0.13
,Jun,01,0.25
,,02,0.13
,,03,0.13
,,04,0.25
,,05,0.13
,,07,0.13
,,08,0.13
,,09,0.50
,,10,0.38
,,11,1.25
,,12,1.25
,,14,0.13
,,15,0.50
,,16,0.13
,,17,0.13
,,18,0.13
,,19,0.25
,,21,0.25
,,22,0.50
,,23,4.00
,,24,2.00
,,25,1.00
,,26,0.50
,,28,0.25
,,29,2.50
,,30,2.25
,Jul,01,1.00
,,02,2.50
,,03,2.00
,,05,0.63
,,06,0.38
,,07,0.50
,,08,0.50
,,09,2.50
,,10,1.25
,,12,0.50
,,13,0.25
,,14,0.38
,,15,0.50
,,16,1.75
,,17,0.50
,,19,0.25
,,20,0.38
,,21,0.50
,,22,0.50
,,23,0.75
,,24,0.13
,,26,0.13
,,27,0.75
,,28,0.13
,,29,0.25
,,30,1.63
,,31,0.50
,Aug,02,0.25
,,03,0.75
,,04,2.50
,,05,0.50
,,06,0.13
,,07,0.50
,,10,0.13
,,11,0.13
,,12,0.13
,,13,0.50
,,14,0.50
,,16,0.25
,,17,0.50
,,18,0.75
,,19,0.38
,,20,0.75
,,21,0.50
,,23,0.50
,,24,0.50
,,25,0.25
,,26,0.25
,,27,2.25
,,28,1.50
,,30,0.25
,,31,1.25
,Sep,01,0.25
,,02,1.00
,,03,0.75
,,04,0.50
,,06,1.75
,,07,0.75
,,08,0.50
,,09,0.25
,,10,1.50
,,11,0.25
,,13,0.38
,,14,0.50
,,15,0.25
,,16,0.63
,,17,3.00
,,18,0.50
,,20,1.50
,,21,0.50
,,22,0.25
,,23,1.00
,,24,1.00
,,25,0.75
,,27,0.25
,,28,0.50
,,29,0.75
,,30,0.75
,Oct,01,2.50
,,02,2.25
,,04,0.75
,,05,0.50
,,06,1.00
,,07,0.25
,,08,1.50
,,09,2.25
,,11,0.25
,,12,1.00
,,13,0.13
,,14,0.75
,,15,2.50
,,16,2.00
,,18,1.75
,,19,1.00
,,20,0.75
,,21,0.75
,,22,2.75
,,23,0.75
,,25,1.25
,,26,1.50
,,27,1.00
,,28,0.75
,,29,2.13
,,30,1.25
,Nov,01,1.50
,,02,0.50
,,03,1.13
,,04,1.00
,,05,2.25
,,06,1.50
,,09,0.25
,,10,0.00
,,11,0.50
,,12,2.25
,,13,1.25
,,15,1.50
,,16,0.13
,,17,0.25
,,18,0.13
,,19,2.00
,,20,0.50
,,22,0.13
,,23,0.13
,,24,0.13
,,25,0.06
,,26,1.38
,,27,0.25
,,29,0.75
,,30,0.75
,Dec,01,0.13
,,02,0.50
,,03,0.50
,,04,0.13
,,06,0.13
,,07,0.13
,,08,0.13
,,09,0.13
,,10,0.75
,,11,0.06
,,13,0.13
,,14,0.13
,,15,0.00
,,16,0.00
,,17,0.00
,,18,0.13
,,20,0.00
,,21,0.00
,,22,0.00
,,23,0.00
,,24,0.00
,,27,0.00
,,28,0.00
,,29,0.06
,,30,0.00
2000,Jan,03,0.00
,,04,0.00
,,05,0.13
,,06,0.00
,,07,0.06
,,10,0.13
,,11,0.25
,,12,0.13
,,13,0.06
,,14,0.75
,,15,0.13
,,17,0.25
,,18,0.38
,,19,0.50
,,20,0.13
,,21,2.00
,,22,0.75
,,24,0.63
,,25,0.75
,,26,1.50
,,27,0.50
,,28,2.50
,,29,3.50
,,31,0.25
,Feb,01,2.25
,,02,0.75
,,03,2.75
,,04,0.50
,,08,0.13
,,09,0.88
,,10,0.38
,,11,1.38
,,12,0.38
,,14,0.13
,,15,0.63
,,16,1.00
,,17,1.25
,,18,2.50
,,19,0.25
,,21,2.50
,,22,2.50
,,23,1.50
,,24,2.00
,,25,2.25
,,26,1.00
,,28,1.50
,,29,3.25
,Mar,01,2.00
,,02,0.38
,,03,2.00
,,04,1.25
,,06,0.13
,,07,0.50
,,08,0.75
,,09,0.50
,,10,4.50
,,11,1.25
,,13,2.25
,,14,1.88
,,15,2.00
,,17,4.25
,,18,2.50
,,20,3.50
,,21,1.25
,,22,0.25
,,23,1.00
,,24,3.50
,,25,1.50
,,27,0.13
,,28,0.38
,,29,1.13
,,30,0.25
,,31,3.00
,Apr,01,1.00
,,03,1.00
,,04,0.75
,,05,0.75
,,06,1.00
,,07,3.25
,,08,2.13
,,10,1.00
,,11,0.50
,,12,1.25
,,13,1.50
,,14,0.25
,,15,0.25
,,17,1.75
,,18,0.38
,,19,2.50
,,20,3.00
,,22,5.00
,,24,3.00
,,25,3.00
,,26,3.00
,,27,0.25
,,28,3.75
,,29,0.25
,May,02,0.13
,,03,1.75
,,04,0.50
,,05,2.50
,,06,2.00
,,08,0.25
,,09,0.13
,,10,0.13
,,11,0.13
,,12,0.13
,,13,0.00
,,15,0.13
,,16,1.25
,,17,2.00
,,19,2.75
,,20,0.25
,,22,2.25
,,23,1.50
,,24,1.75
,,25,1.50
,,26,2.50
,,27,0.13
,,29,0.25
,,30,0.25
,,31,0.25
,Jun,01,1.25
,,02,2.00
,,03,1.00
,,05,1.50
,,06,0.50
,,07,0.50
,,08,1.00
,,09,2.00
,,10,0.50
,,12,0.25
,,13,0.75
,,14,1.00
,,15,1.00
,,16,2.50
,,17,3.00
,,19,1.00
,,20,0.50
,,21,1.00
,,22,0.25
,,23,3.75
,,24,2.50
,,26,0.13
,,27,0.50
,,28,0.50
,,29,0.50
,,30,1.00
,Jul,01,0.13
,,03,1.50
,,04,1.00
,,05,0.75
,,06,2.75
,,07,2.00
,,08,1.50
,,10,1.00
,,11,1.75
,,12,2.50
,,13,1.00
,,14,1.75
,,15,0.50
,,17,0.75
,,18,2.50
,,19,2.50
,,20,2.00
,,21,2.88
,,22,0.50
,,24,2.00
,,25,1.00
,,26,2.50
,,27,2.25
,,28,3.50
,,29,1.00
,,31,0.50
,Aug,01,1.50
,,02,0.50
,,03,1.50
,,04,2.50
,,05,1.50
,,07,1.25
,,08,0.50
,,10,1.50
,,11,3.50
,,12,1.25
,,14,1.00
,,15,2.00
,,16,0.13
,,17,2.00
,,18,2.50
,,19,2.25
,,21,0.13
,,22,0.25
,,23,1.00
,,24,0.75
,,25,3.50
,,26,2.00
,,28,1.00
,,29,1.50
,,30,2.00
,,31,1.00
,Sep,01,2.25
,,02,1.50
,,04,1.00
,,05,2.00
,,06,0.50
,,07,0.50
,,08,3.75
,,09,1.00
,,11,1.00
,,12,1.75
,,13,1.00
,,14,0.75
,,15,2.50
,,16,1.50
,,18,1.50
,,19,1.00
,,20,1.50
,,21,1.75
,,22,2.50
,,23,2.00
,,25,2.00
,,26,0.25
,,27,1.75
,,28,2.00
,,29,3.25
,,30,3.00
,Oct,02,2.50
,,03,1.00
,,04,0.75
,,05,0.75
,,06,3.00
,,07,1.00
,,09,2.00
,,10,0.75
,,11,1.00
,,12,1.88
,,13,2.25
,,14,2.50
,,16,1.00
,,17,1.25
,,18,0.50
,,19,2.38
,,20,3.00
,,21,1.50
,,23,1.50
,,24,2.25
,,25,2.00
,,27,3.75
,,28,2.00
,,30,2.25
,,31,0.75
,Nov,01,1.50
,,02,2.00
,,03,4.00
,,04,3.75
,,06,2.50
,,07,1.00
,,08,1.50
,,09,1.50
,,10,2.50
,,11,2.00
,,13,1.50
,,14,2.00
,,15,2.00
,,16,0.38
,,17,1.25
,,18,1.00
,,20,1.00
,,21,2.13
,,22,2.00
,,23,2.00
,,24,1.25
,,25,2.00
,,27,2.25
,,28,0.63
,,29,2.00
,,30,0.50
,Dec,01,2.50
,,02,2.50
,,04,1.00
,,05,3.00
,,06,2.50
,,07,1.25
,,08,2.75
,,09,2.75
,,11,0.50
,,12,1.25
,,13,1.25
,,14,2.25
,,15,2.25
,,16,2.00
,,18,1.00
,,19,2.00
,,20,2.50
,,21,1.50
,,22,3.00
,,23,2.25
,,26,1.00
,,28,0.13
,,29,3.25
,,30,3.25
2001,Jan,02,1.75
,,03,1.00
,,04,1.50
,,05,1.50
,,06,1.50
,,08,1.75
,,09,2.00
,,10,2.00
,,11,2.75
,,12,3.00
,,13,2.75
,,15,2.00
,,16,0.25
,,17,1.25
,,18,1.00
,,19,1.50
,,20,2.75
,,22,2.25
,,23,2.75
,,26,2.00
,,27,1.00
,,29,0.75
,,30,1.25
,,31,0.75
,Feb,01,1.75
,,02,1.75
,,03,2.00
,,05,2.25
,,06,2.00
,,07,2.25
,,08,0.75
,,09,2.50
,,10,0.75
,,12,2.50
,,13,2.75
,,14,1.50
,,15,1.50
,,16,1.75
,,17,2.25
,,19,1.75
,,20,0.25
,,21,1.25
,,22,0.75
,,23,2.00
,,24,1.25
,,26,1.25
,,27,0.50
,,28,1.25
,Mar,01,1.63
,,02,2.25
,,03,1.00
,,05,2.00
,,07,2.00
,,08,2.50
,,09,2.25
,,10,2.25
,,12,3.50
,,13,3.25
,,14,1.50
,,15,0.50
,,16,1.25
,,17,2.50
,,19,1.25
,,20,0.25
,,21,1.25
,,22,0.50
,,23,2.00
,,24,1.50
,,26,0.25
,,27,2.25
,,28,0.25
,,29,0.25
,,30,1.25
,,31,1.25
,Apr,02,2.00
,,03,1.50
,,04,1.75
,,05,1.50
,,06,2.25
,,07,2.00
,,09,1.88
,,10,1.00
,,11,1.50
,,12,2.50
,,14,2.50
,,16,0.75
,,17,0.50
,,18,1.25
,,19,0.50
,,20,2.75
,,21,2.75
,,23,0.25
,,24,1.00
,,25,1.75
,,26,3.00
,,27,2.50
,,28,2.25
,,30,0.50
,May,02,0.25
,,03,1.00
,,04,3.00
,,05,2.00
,,08,2.00
,,09,1.25
,,10,2.00
,,11,2.25
,,12,2.50
,,14,2.50
,,15,2.50
,,16,1.88
,,17,1.50
,,18,2.00
,,19,2.00
,,21,1.75
,,22,2.25
,,23,2.50
,,24,2.00
,,25,2.75
,,26,2.00
,,28,1.75
,,29,0.50
,,30,2.00
,,31,1.25
,Jun,01,1.75
,,02,1.25
,,04,1.00
,,05,2.75
,,06,2.00
,,07,1.63
,,08,2.00
,,09,1.00
,,11,1.25
,,12,1.25
,,13,1.50
,,14,2.50
,,15,1.25
,,16,1.25
,,18,1.50
,,19,2.00
,,20,2.13
,,21,1.00
,,22,2.00
,,23,2.25
,,25,2.00
,,26,1.50
,,27,2.00
,,28,2.13
,,29,2.50
,,30,1.75
,Jul,02,0.75
,,03,2.00
,,04,2.00
,,05,1.25
,,06,1.25
,,07,0.50
,,09,1.50
,,10,1.25
,,11,1.50
,,12,1.50
,,13,2.50
,,14,2.25
,,16,2.75
,,17,2.50
,,18,3.25
,,19,3.25
,,20,2.00
,,21,2.00
,,23,1.00
,,24,1.00
,,25,2.00
,,26,2.50
,,27,2.50
,,28,2.75
,,30,2.00
,,31,2.50
,Aug,01,2.00
,,02,0.50
,,03,1.00
,,04,1.00
,,06,3.00
,,07,1.00
,,08,1.00
,,10,2.00
,,11,1.00
,,13,1.50
,,14,2.25
,,15,2.50
,,16,2.00
,,17,2.50
,,18,2.25
,,20,1.50
,,21,1.00
,,22,0.75
,,23,1.00
,,24,1.75
,,25,2.50
,,27,0.25
,,28,0.50
,,29,0.50
,,30,0.75
,,31,1.00
,Sep,01,0.25
,,03,0.75
,,04,1.00
,,05,1.88
,,06,1.00
,,07,1.75
,,08,1.50
,,10,0.75
,,11,1.00
,,12,0.13
,,13,0.13
,,14,0.75
,,15,1.00
,,17,0.25
,,18,0.50
,,19,0.50
,,20,0.75
,,21,0.25
,,22,0.13
,,24,0.13
,,25,0.25
,,26,0.88
,,27,0.50
,,28,1.00
,,29,1.00
,Oct,01,0.25
,,02,0.38
,,03,0.13
,,04,0.63
,,05,0.50
,,06,0.50
,,08,0.63
,,09,0.63
,,10,0.50
,,11,0.75
,,12,1.00
,,13,1.00
,,15,0.50
,,16,0.50
,,17,0.13
,,18,0.75
,,19,0.63
,,20,0.75
,,22,0.75
,,23,0.38
,,24,0.13
,,25,0.13
,,26,0.25
,,27,0.13
,,29,0.13
,,30,0.13
,,31,0.50
,Nov,01,0.50
,,02,0.25
,,05,0.50
,,06,0.63
,,07,0.50
,,08,0.75
,,09,0.25
,,10,0.13
,,12,0.25
,,13,0.13
,,15,0.75
,,16,0.38
,,17,0.50
,,19,0.50
,,20,0.38
,,21,0.50
,,22,0.25
,,23,0.38
,,24,0.25
,,26,0.13
,,27,0.13
,,28,0.13
,,29,0.75
,,30,0.63
,Dec,01,0.25
,,03,0.38
,,04,0.75
,,05,0.25
,,06,0.25
,,07,0.63
,,08,0.25
,,10,0.50
,,11,0.13
,,12,0.13
,,13,0.50
,,14,0.63
,,15,0.38
,,18,0.25
,,19,0.50
,,20,0.75
,,21,0.50
,,22,0.25
,,24,0.06
,,26,0.25
,,27,0.88
,,28,0.38
,,29,0.50
,,31,0.25
2002,Jan,02,0.38
,,03,0.88
,,04,1.00
,,05,0.75
,,07,0.75
,,08,1.00
,,09,0.38
,,10,0.63
,,11,0.50
,,12,0.50
,,14,0.50
,,15,0.50
,,16,0.50
,,17,0.25
,,18,0.25
,,19,0.13
,,21,0.25
,,22,0.38
,,23,0.25
,,24,0.75
,,25,0.88
,,26,0.75
,,28,1.00
,,29,0.75
,,30,0.38
,,31,0.44
,Feb,01,0.38
,,02,0.25
,,04,0.25
,,05,0.25
,,06,0.13
,,07,0.50
,,08,0.75
,,09,0.50
,,11,0.25
,,14,0.63
,,15,0.50
,,16,0.50
,,18,0.50
,,19,0.50
,,20,0.13
,,21,0.63
,,22,0.50
,,25,0.63
,,26,0.25
,,27,0.50
,,28,0.38
,Mar,01,0.50
,,02,0.38
,,04,0.75
,,05,0.88
,,06,1.00
,,07,0.88
,,08,1.00
,,09,0.88
,,11,0.50
,,12,0.63
,,13,0.25
,,14,0.63
,,15,0.63
,,16,0.50
,,18,0.25
,,19,0.75
,,20,0.38
,,21,0.75
,,22,0.50
,,23,0.50
,,25,0.50
,,26,0.50
,,27,0.88
,,28,0.50
,,30,0.50
,Apr,01,0.25
,,02,0.75
,,03,0.13
,,04,0.75
,,05,0.50
,,06,0.50
,,08,0.50
,,09,0.63
,,10,0.56
,,11,0.75
,,12,0.75
,,13,0.50
,,15,0.50
,,16,0.25
