,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Singapore,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,United Arab Emirates,Qatar,Kuwait,Turkiye,Philippines,Poland,Chile,Greece,Peru,Hungary,Czechia,Egypt,Colombia,Argentina,Russia
1999-01-01,34515.3902272076,36610.1667092968,28788.9692869593,22315.1742893999,24678.3910613218,41696.9403674346,26734.9425369252,20698.7127028167,28272.6432492539,33440.6030643404,30940.9732600136,15720.6405016061,25091.6665997966,22005.0545405773,21796.6416756673,26186.1900105755,25252.8019066564,36393.4249590075,19742.4409094349,26338.1077543817,15322.2238340267,27183.4759263956,12475.2917701476,22219.2675461211,873.297610969115,440.961454614021,10672.4179334373,3456.42359489537,7697.27068405676,3267.9390794289,6230.69720074254,2028.56877965103,663.523229868446,3538.36299288587,27261.9065733158,20207.2255889136,16044.5113621837,4057.82208115709,1123.16356191368,4398.07180472258,4981.19110628657,13249.6633239242,1911.73501688306,4793.47784826397,6337.40995410482,1297.57469006096,2236.07292549395,7735.32208018486,1330.75720214844
2000-01-01,36329.9560727102,39169.3601759313,28289.65268964,24271.0020563821,22416.425417915,38864.0438950021,23694.7604830673,21853.4499933573,26214.498549887,30743.3796974953,29624.7698677482,14749.6874248766,25756.7739743351,20137.5912217673,23852.8343394594,24345.9148217032,23098.8865077401,38178.0561473638,21630.5707714145,26334.5672050501,13641.0178601057,24625.6007227434,11526.3720667968,20215.5536922064,959.360412054851,442.034778917695,12256.9935679503,3726.81142041068,8795.26059641872,3241.66124034865,7232.91068093609,2004.10704225596,770.865351580294,4087.56259349384,31855.5006047175,27494.7713320186,19493.9145280203,4278.26653426387,1073.26443619332,4501.47996121234,5097.11493718915,12072.9293569196,1941.318259717,4624.28220296128,6028.5826120265,1398.85983078672,2546.85021319149,7666.51783423783,1771.59411621094
2001-01-01,37133.623113437,34406.1690160364,27888.6051075925,23821.4455867378,22449.3396931175,39638.4387853866,23628.3272122367,19681.6450326534,26896.5481111196,30751.5896881994,27247.7632078564,15369.0011599444,25230.3780910304,20500.9543995672,21699.7475424438,24967.7925153182,23015.0712632462,38602.0944054332,20909.6789490178,28282.409882073,13882.8665113182,24558.7636778868,11734.7649743954,20450.576713307,1053.11227201705,449.911124933268,11561.2483689073,3142.23552848117,8337.32272366096,2867.47255222291,7613.14297753247,1889.97141079834,739.003946535355,3941.12266621369,29909.0094348435,25836.2707926738,17517.725185654,3100.45878842391,991.147982051369,4991.24435799511,4606.89056424429,12549.036894906,1925.97942030475,5276.03318905496,6637.1065117699,1327.09651832991,2465.00701127148,7168.97587232911,2100.3525390625
2002-01-01,37997.7596573051,32820.788626377,30078.6081337481,24255.3385818322,24288.2700193508,42458.5341569947,25197.2656001848,20290.7804189053,29343.2449960602,33228.6339176661,29899.1236012538,17106.686576658,24665.8372860636,22376.2978989329,22159.8332458207,26997.7529897788,25006.191397109,43170.6716286708,19035.0019722506,32705.4345565698,16874.1874918196,26527.5930910347,12936.6928204482,22213.0024200121,1148.51418772689,468.84442830518,13165.0657360554,2824.71539582671,8380.95929551377,2708.42341883274,7650.93186425866,2091.17888689558,888.901389665655,4177.10494176499,30221.9669995136,27151.032498866,18626.7594986402,3640.76182988006,1037.17479446569,5207.12887879142,4479.17504395379,14177.5721592705,2003.97108061855,6655.33300865319,8060.88881086776,1144.53239841974,2421.16210341989,2579.48876933284,2377.52954101563
2003-01-01,39490.2749557007,35387.0483579741,34480.941057112,28300.4630963791,29627.92426353,49337.5468934732,30310.3575963774,23705.9072163917,35750.9746630269,40458.9411743486,37321.7786737336,21510.8362454011,23977.1734120477,27526.3224609957,23730.3794651032,32927.6802919408,30655.2092679024,50250.2115333175,19627.0318353345,41203.5295847568,21913.7081719961,32294.0488606559,15797.7821340276,27193.0019619636,1288.63754323945,543.843798893951,14672.8574703505,3056.64968001868,9321.80387371676,4095.68360999415,7120.37212084792,2350.84551471481,1052.41319921916,4454.52676383656,32607.3729348287,31440.2207124561,22781.1194295871,4704.7720095841,1049.38648817817,5701.63886301914,4824.22054120463,18518.3788387396,2126.13782387391,8419.43212215959,9818.56849307488,1056.93720896595,2305.17050671011,3333.15290388997,2975.123046875
2004-01-01,41724.6316287624,38298.9801712303,40392.2648578651,32143.6814078562,33797.1624418436,54659.6403000107,34106.6581224001,30819.9934867745,40436.6182310407,46511.9347509801,42821.750835144,24907.0008505856,24928.1003722551,31317.2007943296,27608.074568778,37772.1781110398,35429.4077933344,57768.412430384,20557.1550703878,47754.2023194244,25420.3372939324,36889.2335135194,18064.1580932987,31004.9761022314,1508.66794598726,624.105094371897,16496.1200942502,3623.22390486815,10935.0165899837,5268.27898399793,7525.4874609367,2647.2607380685,1136.75521127965,4924.33811126582,37017.736365469,40792.2764702117,27601.4000590722,6031.79030954214,1122.85552849997,6681.31035976437,6185.51479184893,21995.477943746,2393.66589710452,10301.7017009768,11749.8755242156,1016.25388395628,2811.45945015998,4258.16026060875,4102.36474609375
2005-01-01,44123.4070679055,37812.8910174761,42131.8270714745,36382.5079164537,34768.1759037525,56243.947298687,34520.2396492496,34460.5429970479,41994.7135305232,48799.7442261767,43437.1309285673,26429.1509449319,26649.6365819624,32055.0920757503,29961.3082806236,39054.8504423825,36809.7013403619,67047.1704558264,21223.9355901939,50933.0216095589,27751.0654708859,38417.4577857677,18780.12751241,31947.6679669722,1753.41426293188,710.509344850714,19402.5032574748,4773.26848028038,13462.7630489265,5893.18676697246,8321.85985639121,2876.24575803293,1249.3976936371,5536.83797041246,42190.5543794633,52468.4456475056,36144.9949458716,7369.43129503434,1245.28659123518,8021.54706395971,7561.8305480446,22560.1472939077,2702.23770075461,11223.3993032598,13430.6605521291,1133.10546057176,3448.53827356214,5086.62776073134,5323.455078125
2006-01-01,46302.0008800056,35991.5423923387,44537.7123351892,40504.0607253203,36470.2128399313,59008.993014024,36353.8803343631,36570.7630699009,44900.9381441374,52027.1890709689,46593.2916773864,28389.0785799873,28224.093945162,33529.7266014361,33768.4457393726,41222.6020004611,38705.1067959147,74434.1128098681,22494.6000232756,54329.1618599624,26654.5932018985,40669.3269586152,19839.4540499032,33794.8222587519,2099.21934229104,802.01374204738,21743.4770908524,5866.02431314405,14848.6020580308,6139.58146655445,9125.3877388645,3343.78593219363,1572.79793977879,6137.15060967476,45339.5851165809,59978.86120736,42970.6631297395,8003.81217666429,1452.22141963138,9035.53178753546,9418.0627175215,24821.9367451879,3123.32015935927,11489.5608654088,15261.8088483267,1332.33941000282,3782.60350413031,5890.97800169795,6920.19970703125
2007-01-01,48050.2237771135,35779.0156794464,50438.229599278,44659.8951408034,41557.6235648179,64991.005147337,41640.0808695147,41023.7548562293,51799.2085521047,58487.0460144465,53700.2436933091,32591.3503065871,30593.952481061,37870.7475070969,39432.8947414593,48476.3927287052,44319.165448813,85502.7539315067,25633.7496115531,61396.417461176,32479.9817381467,46915.3374004507,22811.0564844365,38715.4438625534,2693.95855454419,1022.73247550475,24086.4114327703,7323.19034003928,15756.193622653,6662.06278541847,9719.9278639964,3934.69095574016,1840.32992667702,7143.99944555912,43918.3801694265,64706.9899026035,45729.8060441175,9668.39944310804,1741.60350474062,11254.3140875349,10461.3660887507,28863.9732885018,3572.36358879114,13940.9067455267,18466.5782621236,1586.47292057972,4762.08297292255,7210.59554755899,9101.2392578125
2008-01-01,48570.0459804586,39876.3062956324,47432.8790970463,46710.5055759013,45515.9617533473,74175.8776377701,45612.7106221441,49681.2190739771,57879.9437553916,64321.6744842874,56152.5594398572,35510.7222312701,31515.5278612495,40944.9124194678,40008.5767618076,53772.7942390019,48303.397956286,97503.5407803783,30173.1833628451,61353.1065629523,31252.9625640673,51919.9835754226,24949.0413566739,42353.1861913285,3468.32706307504,993.503412459599,21350.4286256041,8801.75947547502,18944.8573494363,6251.87717465472,10119.8210567984,4327.79751701197,2144.38954419985,8343.30254803955,45140.7690772438,79811.5977371757,55595.4084838672,10802.6004780341,1990.35614640542,13995.7830962135,10783.1708210632,32127.9831943287,4184.88598248749,15772.3270292979,22804.6222045964,1941.89997269337,5534.68944688199,8977.50685093365,11635.2841796875
2009-01-01,47194.9433547336,41309.0016548642,38820.0145894173,40876.3101540295,41737.7635518137,71565.569975492,41650.3678297162,42810.4658391817,52722.2130568997,58163.638529726,46946.8427075849,32169.5028548583,30697.5383861641,37226.7571935402,38926.8131057113,47481.4845364339,44760.2912443709,80347.1441583813,28316.7853650267,52133.0906162544,28209.3623271229,48153.3240199631,23151.2154130712,38578.9213931293,3832.2274278698,1096.63613605864,19143.8516053025,8569.90180523381,15064.6312806896,6444.18672009771,8104.92257319862,4154.18743212391,2239.09526528198,7167.87737583247,31722.5887637992,60733.9817002272,37906.1503031299,8989.73588316765,1893.28162262767,11525.9019684428,10182.8605646819,29828.7560245271,4164.97048299155,13077.3076195053,19861.6974295256,2212.21814788932,5245.9516649172,8184.38988923991,8562.82421875
2010-01-01,48650.6431283336,44968.1562349739,39693.1938701237,47562.0834253057,40676.0647913191,76531.3729407691,41572.4559481517,52132.469607935,50999.7451168891,58041.3984363385,52869.0442891587,30532.4805081663,32550.137885731,36035.6449950699,47236.6715371242,46505.3031791822,44184.946353965,88163.2085931423,31266.6053174383,48663.6004439262,33676.7741239925,46903.7615854354,22520.642312405,37605.0353764349,4550.47392427081,1350.63445681517,23087.2256438476,11249.2937410718,17958.9478313331,8059.56284101092,9399.96470859669,4996.37209760091,3094.44307855057,8880.14603964288,34165.9133053315,73021.3097525035,39212.6352806064,10614.9845699013,2201.77681934472,12504.2501856093,12767.7820406263,26716.648826028,5047.2046433225,13217.5045951108,19960.0684872157,2509.77203417522,6392.75802564032,10385.9644319555,10674.990234375
2011-01-01,50065.9665041742,48760.0789494211,42150.6981408821,52223.696112356,43846.4660764801,90476.7589651577,46705.8957963357,62598.6866176979,54230.3129029856,61753.647131977,60755.7595508465,31677.9003083654,35142.4879344543,38649.6394836792,53891.4622883041,51148.9316365836,47410.5669277467,101221.813476644,34354.7161182231,52183.1329312158,38387.6270784076,51442.2762464411,23217.2954965209,40656.4392727853,5614.38573851229,1449.60330101065,25096.2638838239,13200.5581661879,22441.571143891,8737.04111019993,10341.5002378026,5396.64352674112,3613.80088834845,10209.3719094019,40893.0233597739,92992.9971307452,49010.320366082,11308.3717351206,2431.19996489492,13776.389395702,14628.5724573037,25483.8825644933,5826.83230656078,14234.471576937,21871.2660754128,2645.6225349104,7392.9435995632,12848.7404762598,14311.064453125
2012-01-01,51784.4185738837,49145.2804308193,42485.5860695397,52669.0899632316,40870.8523645734,85836.2076767359,43855.8544658618,68047.3781775015,50070.1416045904,58507.5080517852,58037.8213192173,28322.9465923276,36730.7977743272,35051.5212697703,55547.5462532391,47708.0612784469,44670.5606845101,102175.919298374,33156.2283157638,49054.6974340641,39973.3807587223,48564.9173350875,20563.7136012629,37594.9177191427,6300.58235236313,1434.01797842656,25466.7605170594,12327.5155558345,24069.2033148131,8173.8691381716,10376.0904951074,5748.63278226959,3668.21208350123,10601.5109136826,44386.7860798374,98041.3622380894,51271.148649557,11697.4743620805,2671.77753848888,13010.7569185983,15406.4928361503,21912.9982879517,6475.71941703429,12984.8365730133,19870.8012123403,3059.13542779204,8096.80150977527,13082.664325572,15420.8583984375
2013-01-01,53291.1276891406,40898.6478964744,43449.0917173139,52635.1749580433,42602.7179652671,87304.3305813557,46298.9229177345,68156.3861047269,52198.8975607458,61191.1937042028,61126.9431963979,29077.1820557566,38403.7777145477,35560.0814062291,56967.4257940383,49892.2233632736,46757.9518559601,103553.840134417,36941.8423573582,51546.3547634549,42976.6495882584,50731.1272541851,21653.1959752226,39119.9712010537,7020.38568208449,1438.05699513067,27182.7343101936,12258.5648491717,23945.5123106892,7441.23085399675,10865.6872912453,6041.13401347979,3602.88551680629,10727.6705533054,45729.607675743,97630.8255152088,47762.7223166767,12507.8031578864,2847.56795417743,13558.3425613478,15833.2759194461,21787.7877636036,6697.18768268879,13715.0703590361,20133.1691431353,3088.8908340843,8263.64192942212,13080.2547323367,15974.623046875
2014-01-01,55123.8497869046,38475.3952461838,47447.5889322667,50955.9983232404,43068.5487241732,88724.9909402638,48023.8699845455,62515.3148315008,52900.5374153222,62548.9847332908,60020.3604576572,29513.65118004,40315.3722179377,35565.7213771491,57564.8023114977,50327.2402902624,47764.0715120825,97666.6951838749,38259.6810956173,55643.0594338739,44572.8987536626,51786.3771747897,22103.7009703317,39913.1212610408,7636.07422276004,1559.86377161811,29249.5752209742,12071.4046547485,23862.8011860096,6965.1378973693,11076.1341141975,5822.37772319938,3476.62485432866,11045.5809765322,46865.9645976866,93126.1494633822,43239.8136517377,12020.349659273,2935.9285781194,14181.9501803099,14666.3431168586,21616.7100094905,6614.83049889676,14294.2584180751,19890.9199056648,3196.86138078687,8167.47284156278,12334.7982453893,14095.646484375
2015-01-01,56762.7294515989,34960.6393843385,45071.0743234873,43596.1355365546,36652.9223052178,83806.4476003837,41103.2564363768,56708.96119674,45193.4032187971,53254.8563700916,51545.4836095322,25754.36102944,42432.1619740441,30242.3861352184,55645.6068614606,42801.9081167285,41008.296719472,74809.9658049898,36206.5222171621,62053.9844381587,38630.7265886928,44195.8175947748,19250.1065376852,34388.8103723606,8016.44601585644,1590.17432166504,28732.2310762599,8783.21441310718,20442.3660631613,6204.92990145846,9753.40056232226,5708.79414662172,3322.58167907656,9699.58490873216,41525.1389043587,66984.9102002396,29315.1960719019,10851.9201069804,2974.29692047629,12560.051419682,13569.9481274733,18083.8779056547,6180.11879937394,12717.038597002,17829.6983223668,3370.38244716015,6228.65162186096,13789.060424772,9313.021484375
2016-01-01,57866.7449341091,39375.4731620781,41146.0773555246,42315.6037056806,37062.5335723839,82153.0745447889,42136.1207908003,49876.7123761245,46039.105928411,54663.9983719195,51965.1571531985,26537.1594894549,43734.1980702999,30960.7315088911,56895.6433372978,43814.0265056977,42012.6227191027,70867.3609970749,37690.4739511859,62895.9111239299,40058.1961621466,45307.5878620442,19991.9724878811,35164.0647840609,8094.39037512163,1714.2795405846,29288.8704389833,8680.73542054827,19930.407543816,5735.06678717842,8875.08206876137,5854.46385243079,3558.81885174287,9555.64733478683,41054.5395698941,58467.2355711087,27026.6481960811,10734.2564687192,3038.15204593606,12378.8117640735,13785.6875977318,17923.9668134721,6163.86117862599,13104.6995457458,18575.2320271915,3331.61246134688,5936.26102166829,12790.2640639201,8704.89453125
2017-01-01,59907.754260885,38834.0529341227,40622.6893883232,45129.4292980922,38781.049487084,82254.3769269767,44652.5891722723,53934.1543741253,48675.2223350217,57610.0981801135,53791.5087298403,28185.3213671972,46160.429791493,32406.7203150137,61164.8973569773,46412.1364777173,44198.4823908695,76131.8384032764,41114.7817082553,69970.9489145768,42910.9728362488,47429.1584564391,21490.4298631042,37157.1125976758,8817.04549566316,1957.96981368095,31616.8434004683,9896.7175109967,20910.4829617971,6734.47515312493,9434.37817948243,6436.78964911639,3839.78507463674,9979.70475684195,43063.9674785596,59407.6980498883,29258.289635943,10464.007789586,3077.43443152814,13815.499946254,15045.5278507601,18582.0893411633,6676.3077877014,14621.2395956755,20636.199952435,2439.96728439968,6449.97098726073,14613.035714704,10720.33203125
2018-01-01,62823.309438197,39751.1330982711,43306.3083049317,46547.7951820036,41557.8548588869,85216.6429514169,47939.2782884496,57206.9906696898,53044.5324352244,61591.9288698958,54589.0603860606,30379.7211126417,48537.5668888343,34622.1696664735,66836.5385122528,49987.6261584959,47544.9811472749,82792.8427113304,42406.8454263606,79250.387851767,43236.8866923404,51466.5565633624,23562.5545228187,40045.5661943636,9905.4061175104,1974.37773014516,33436.9230646064,9121.02009249958,24175.5831237449,7048.50811239074,9857.00748742213,7124.55886705161,3902.66167542693,11073.9785943006,46722.2687193126,66264.081168209,32012.1352035471,9400.83633703723,3194.67270414955,15504.5089372145,15795.7081412484,19756.9904562547,6912.10462268352,16425.2050299693,23424.4804601855,2531.20007864537,6782.0379203319,11795.1628852236,11287.3544921875
2019-01-01,65120.3946628653,40415.9567649547,42747.080460496,46374.1527517191,40494.8982936269,84121.9310304414,46793.6867615995,54941.0657202842,52476.2732533318,59592.9806886454,51939.4297445291,29581.5185513293,48359.0032522111,33673.7509627414,66070.4706679227,48629.8582283024,46641.7116578097,76430.5889473338,44452.2325623093,80927.0746710651,42796.4305818389,50070.4033482892,23330.8172889316,39183.1023427645,10143.8602060373,2050.16378973235,31902.4169048194,8845.3239312417,23405.7061087736,6688.77474649645,10145.1526279593,7628.57608699366,4151.22755454135,11132.1034532052,45376.1708390447,62827.3969543275,30666.2206640015,9103.01239697463,3413.8490672059,15700.0135796738,14627.14501648,19144.2843875557,6955.88176963678,16786.2136399075,23664.8478631108,3017.25833578941,6436.50921529531,9963.67423069626,11536.2587890625
2020-01-01,63528.6343027508,39986.9286287091,40318.4169225055,43349.677855557,39055.2829280747,85656.322666307,46772.8253507537,51722.0690001531,52162.5701150397,60915.4243995462,52837.9039778149,26959.6754367322,46109.2299946609,31918.6934933773,61274.0064626976,49169.719338849,45517.9038182019,68340.0181033702,44846.7915954816,85420.1908556082,41760.5947839997,48809.2268762235,22242.4064179716,38161.6659419747,10408.7191247747,1913.21972103493,31721.2980183057,6923.70019715065,20398.0609873699,5741.64124877252,8654.99732516958,7001.78541255771,3895.61815205095,10160.8293465592,37629.1741680652,52315.6600783117,24297.7011414501,8561.0643326366,3224.4228110466,15816.8204022734,13165.3863429858,17658.9473011189,6063.62657980167,16125.6094085407,22992.8793833348,3571.5569065135,5304.28912886637,8496.428156755,10194.44140625
2021-01-01,70219.472454115,39827.1267678179,46585.8975644567,52358.6216405155,43658.9789781222,91991.6004583563,51203.5544731043,60444.5023551978,57708.1112134322,68007.7566732954,61143.2212428047,30103.513733191,49764.793115622,35770.0496120858,77710.0699565617,53489.7520190898,51268.3880373598,90655.3910229392,52166.8121647134,100172.079253421,49996.4206725811,53637.7057109897,24598.4727937544,42472.3326927924,12617.5049863004,2238.12713873311,34997.7816427848,7696.78553127562,24160.6760455307,7055.05517621298,10045.676371041,7060.89760941608,4334.21598260314,11109.2652881747,44315.554183896,66838.3276414802,32186.7654076734,9661.22773420424,3460.53940077621,17999.8322682985,16247.4010150765,20192.5963039061,6635.46392344859,18772.1411117581,26822.5141862111,3886.7224983901,6182.70709867969,10636.1155301986,12593.1572265625
2022-01-01,76398.5917422054,33815.3172733799,45850.4261222629,54966.4888361088,40963.837337041,92101.4697414382,48432.4558732596,64491.4298860631,55985.4034255707,66983.1320017138,55873.2208108977,29350.1685214481,48983.623801213,34157.990122464,82807.6490834764,50536.6244670541,49582.8253649187,106148.778627718,54659.753964319,104038.946076296,48249.2640150011,52131.4466586387,24274.5165823077,40755.0473759676,12720.2156397612,2388.62119776762,32254.6247153456,8917.67389796927,30436.2783034025,6776.48007742932,11091.3054302538,6908.80211929543,4787.99930765134,11971.9275991535,53757.8632508308,88046.3204155891,43233.4890938984,10616.0610448133,3498.50981598253,18321.2808899533,15355.5064965406,20732.0522190537,7125.8292350929,18463.2085249699,27638.3732756288,4295.40749561014,6630.28272608054,13686.0086737317,15345.0966796875
